model_id,concurrent requests,throughput (t/s),Time-to-first-token @ P50 (s),average latency (ms)
meta-llama/Llama-2-7b-chat-hf,1,14.063803905211572,0.3987881645007292,70.48060510126403
meta-llama/Llama-2-7b-chat-hf,2,26.162965179465747,0.40350751699770626,72.36781040671984
meta-llama/Llama-2-7b-chat-hf,4,49.69649165212823,0.4099114575001295,72.91366721847136
meta-llama/Llama-2-7b-chat-hf,8,94.60991610454018,0.7016486650009028,75.61461008209015
meta-llama/Llama-2-7b-chat-hf,16,166.46922494626602,0.9019595224999648,80.13376703967518
meta-llama/Llama-2-7b-chat-hf,32,289.1589793989436,0.9394794189993263,86.28033925043488
meta-llama/Llama-2-7b-chat-hf,64,464.3362952488904,1.5682321499989484,102.07673987783095
meta-llama/Llama-2-7b-chat-hf,128,200.58349155127274,1.623917873501341,496.7465295538508
meta-llama/Llama-2-7b-chat-hf,256,192.73675561099523,72.62346682000134,710.0072302725964
meta-llama/Llama-2-7b-chat-hf,512,189.2396322105581,96.5099575000022,833.6784930519934
